套餐类型名,vCPU(个),family_id,内存容量(GB),PPS(万),内网带宽(Gbps),弹性网卡数,网卡队列数,单网卡私有IP数,价格单位,中国大陆Linux/Windows,"数据盘容量(GB,本地SSD)",新加坡Linux,新加坡Windows,连接数(万),云盘IOPS,云盘带宽(Gbps),GPU,GPU显存,多队列,网卡数,金融专区,中国香港Linux,中国香港Windows
S4.1D,1,标准型,8,25,1.5,2.0,1.0,6.0,元/小时,0.538,-,0.861,1.722,,,,,,,,,,
S4.2A,2,标准型,2,30,1.5,2.0,2.0,6.0,元/小时,0.4768,-,0.763,1.526,,,,,,,,,,
S4.2B,2,标准型,4,30,1.5,2.0,2.0,6.0,元/小时,0.5624,-,0.9,1.8,,,,,,,,,,
S4.2C,2,标准型,8,30,1.5,2.0,2.0,6.0,元/小时,0.7336,-,1.174,2.348,,,,,,,,,,
S4.2D,2,标准型,16,30,1.5,2.0,2.0,6.0,元/小时,1.076,-,1.722,3.444,,,,,,,,,,
S4.4A,4,标准型,4,50,2.0,2.0,4.0,6.0,元/小时,0.9536,-,1.526,3.052,,,,,,,,,,
S4.4B,4,标准型,8,50,2.0,2.0,4.0,6.0,元/小时,1.1248,-,1.8,3.6,,,,,,,,,,
S4.4C,4,标准型,16,50,2.0,2.0,4.0,6.0,元/小时,1.4672,-,2.348,4.696,,,,,,,,,,
S4.4D,4,标准型,32,50,2.0,2.0,4.0,6.0,元/小时,2.152,-,3.444,6.888,,,,,,,,,,
S4.8A,8,标准型,8,85,3.0,2.0,8.0,10.0,元/小时,1.9072,-,3.052,6.104,,,,,,,,,,
S4.8B,8,标准型,16,85,3.0,2.0,8.0,10.0,元/小时,2.2496,-,3.6,7.2,,,,,,,,,,
S4.8C,8,标准型,32,85,3.0,2.0,8.0,10.0,元/小时,2.9344,-,4.696,9.392,,,,,,,,,,
S4.8D,8,标准型,64,85,3.0,2.0,8.0,10.0,元/小时,4.304,-,6.888,13.776,,,,,,,,,,
S4.12B,12,标准型,24,85,3.0,2.0,12.0,15.0,元/小时,3.3744,-,5.4,10.8,,,,,,,,,,
S4.12C,12,标准型,48,85,3.0,2.0,12.0,15.0,元/小时,4.4016,-,7.044,14.088,,,,,,,,,,
S4.16A,16,标准型,16,100,6.0,2.0,16.0,20.0,元/小时,3.8144,-,6.104,12.208,,,,,,,,,,
S4.16B,16,标准型,32,100,6.0,2.0,16.0,20.0,元/小时,4.4992,-,7.2,14.4,,,,,,,,,,
S4.16C,16,标准型,64,100,6.0,2.0,16.0,20.0,元/小时,5.8688,-,9.392,18.784,,,,,,,,,,
S4.16D,16,标准型,128,100,6.0,2.0,16.0,20.0,元/小时,8.608,-,13.776,27.552,,,,,,,,,,
S4.24B,24,标准型,48,100,6.0,3.0,16.0,20.0,元/小时,6.7488,-,10.8,21.6,,,,,,,,,,
S4.24C,24,标准型,96,100,6.0,3.0,16.0,20.0,元/小时,8.8032,-,14.088,28.176,,,,,,,,,,
S4.32B,32,标准型,64,150,10.0,5.0,16.0,20.0,元/小时,8.9984,-,14.4,28.8,,,,,,,,,,
S4.32C,32,标准型,128,150,10.0,5.0,16.0,20.0,元/小时,11.7376,-,18.784,37.568,,,,,,,,,,
S4E.1A,1,标准型,1,25,1.5,2.0,1.0,6.0,元/小时,0.24,-,,,,,,,,,,,,
S4E.1B,1,标准型,2,25,1.5,2.0,1.0,6.0,元/小时,0.28,-,,,,,,,,,,,,
S4E.1C,1,标准型,4,25,1.5,2.0,1.0,6.0,元/小时,0.37,-,,,,,,,,,,,,
S4E.2A,2,标准型,2,30,1.5,2.0,2.0,6.0,元/小时,0.48,-,,,,,,,,,,,,
S4E.2B,2,标准型,4,30,1.5,2.0,2.0,6.0,元/小时,0.56,-,,,,,,,,,,,,
S4E.2C,2,标准型,8,30,1.5,2.0,2.0,6.0,元/小时,0.73,-,,,,,,,,,,,,
S4E.4A,4,标准型,4,50,2.0,2.0,4.0,6.0,元/小时,0.95,-,,,,,,,,,,,,
S4E.4B,4,标准型,8,50,2.0,2.0,4.0,6.0,元/小时,1.12,-,,,,,,,,,,,,
S4E.4C,4,标准型,16,50,2.0,2.0,4.0,6.0,元/小时,1.47,-,,,,,,,,,,,,
S4E.8A,8,标准型,8,85,3.0,2.0,8.0,10.0,元/小时,1.91,-,,,,,,,,,,,,
S4E.8B,8,标准型,16,85,3.0,2.0,8.0,10.0,元/小时,2.25,-,,,,,,,,,,,,
S4E.8C,8,标准型,32,85,3.0,2.0,8.0,10.0,元/小时,2.93,-,,,,,,,,,,,,
S4E.12B,12,标准型,24,85,3.0,2.0,12.0,15.0,元/小时,3.37,-,,,,,,,,,,,,
S4E.12C,12,标准型,48,85,3.0,2.0,12.0,15.0,元/小时,4.4,-,,,,,,,,,,,,
S4E.16A,16,标准型,16,100,6.0,2.0,16.0,20.0,元/小时,3.81,-,,,,,,,,,,,,
S4E.16B,16,标准型,32,100,6.0,2.0,16.0,20.0,元/小时,4.5,-,,,,,,,,,,,,
S4E.16C,16,标准型,64,100,6.0,2.0,16.0,20.0,元/小时,5.87,-,,,,,,,,,,,,
S4E.24B,24,标准型,48,100,6.0,3.0,16.0,20.0,元/小时,6.75,-,,,,,,,,,,,,
S4E.24C,24,标准型,96,100,6.0,3.0,16.0,20.0,元/小时,8.8,-,,,,,,,,,,,,
S4E.32B,32,标准型,64,150,10.0,5.0,16.0,20.0,元/小时,9.0,-,,,,,,,,,,,,
S4E.32C,32,标准型,128,150,10.0,5.0,16.0,20.0,元/小时,11.74,-,,,,,,,,,,,,
S6.1A,1,标准型,1,25,1.5,2.0,1.0,6.0,元/小时,0.1497,-,0.2395,0.479,,0.5万,0.5,,,,,0.2395,0.2395,0.479
S6.1B,1,标准型,2,25,1.5,2.0,1.0,6.0,元/小时,0.175,-,0.2799,0.5598,,0.5万,0.5,,,,,0.2799,0.2799,0.5598
S6.1C,1,标准型,4,25,1.5,2.0,1.0,6.0,元/小时,0.2256,-,0.3607,0.7214,,0.5万,0.5,,,,,0.3607,0.3607,0.7214
S6.1D,1,标准型,8,25,1.5,2.0,1.0,6.0,元/小时,0.3268,-,0.5223,1.0446,,0.5万,0.5,,,,,0.5223,0.5223,1.0446
S6.2A,2,标准型,2,30,1.5,2.0,2.0,6.0,元/小时,0.2994,-,0.479,0.958,,1万,1.0,,,,,0.479,0.479,0.958
S6.2B,2,标准型,4,30,1.5,2.0,2.0,6.0,元/小时,0.35,-,0.5598,1.1196,,1万,1.0,,,,,0.5598,0.5598,1.1196
S6.2C,2,标准型,8,30,1.5,2.0,2.0,6.0,元/小时,0.4512,-,0.7214,1.4428,,1万,1.0,,,,,0.7214,0.7214,1.4428
S6.2D,2,标准型,16,30,1.5,2.0,2.0,6.0,元/小时,0.6536,-,1.0446,2.0892,,1万,1.0,,,,,1.0446,1.0446,2.0892
S6.4A,4,标准型,4,50,2.0,2.0,4.0,6.0,元/小时,0.5988,-,0.958,1.916,,1.5万,2.0,,,,,0.958,0.958,1.916
S6.4B,4,标准型,8,50,2.0,2.0,4.0,6.0,元/小时,0.7,-,1.1196,2.2392,,1.5万,2.0,,,,,1.1196,1.1196,2.2392
S6.4C,4,标准型,16,50,2.0,2.0,4.0,6.0,元/小时,0.9024,-,1.4428,2.8856,,1.5万,2.0,,,,,1.4428,1.4428,2.8856
S6.4D,4,标准型,32,50,2.0,2.0,4.0,6.0,元/小时,1.3072,-,2.0892,4.1784,,1.5万,2.0,,,,,2.0892,2.0892,4.1784
S6.8A,8,标准型,8,80,3.0,2.0,8.0,10.0,元/小时,1.1976,-,1.916,3.832,,2万,3.0,,,,,1.916,1.916,3.832
S6.8B,8,标准型,16,80,3.0,2.0,8.0,10.0,元/小时,1.4,-,2.2392,4.4784,,2万,3.0,,,,,2.2392,2.2392,4.4784
S6.8C,8,标准型,32,80,3.0,2.0,8.0,10.0,元/小时,1.8048,-,2.8856,5.7712,,2万,3.0,,,,,2.8856,2.8856,5.7712
S6.8D,8,标准型,64,80,3.0,2.0,8.0,10.0,元/小时,2.6144,-,4.1784,8.3568,,2万,3.0,,,,,4.1784,4.1784,8.3568
S6.12A,12,标准型,12,110,4.0,3.0,12.0,15.0,元/小时,1.7964,-,2.874,5.748,,2.5万,4.0,,,,,2.874,2.874,5.748
S6.12B,12,标准型,24,110,4.0,3.0,12.0,15.0,元/小时,2.1,-,3.3588,6.7176,,2.5万,4.0,,,,,3.3588,3.3588,6.7176
S6.12C,12,标准型,48,110,4.0,3.0,12.0,15.0,元/小时,2.7072,-,4.3284,8.6568,,2.5万,4.0,,,,,4.3284,4.3284,8.6568
S6.12D,12,标准型,96,110,4.0,3.0,12.0,15.0,元/小时,3.9216,-,6.2676,12.5352,,2.5万,4.0,,,,,6.2676,6.2676,12.5352
S6.16A,16,标准型,16,150,6.0,4.0,16.0,20.0,元/小时,2.3952,-,3.832,7.664,,3万,5.0,,,,,3.832,3.832,7.664
S6.16B,16,标准型,32,150,6.0,4.0,16.0,20.0,元/小时,2.8,-,4.4784,8.9568,,3万,5.0,,,,,4.4784,4.4784,8.9568
S6.16C,16,标准型,64,150,6.0,4.0,16.0,20.0,元/小时,3.6096,-,5.7712,11.5424,,3万,5.0,,,,,5.7712,5.7712,11.5424
S6.16D,16,标准型,128,150,6.0,4.0,16.0,20.0,元/小时,5.2288,-,8.3568,16.7136,,3万,5.0,,,,,8.3568,8.3568,16.7136
S6.24A,24,标准型,24,200,6.0,4.0,16.0,20.0,元/小时,3.5928,-,5.748,11.496,,4万,6.0,,,,,5.748,5.748,11.496
S6.24B,24,标准型,48,200,6.0,4.0,16.0,20.0,元/小时,4.2,-,6.7176,13.4352,,4万,6.0,,,,,6.7176,6.7176,13.4352
S6.24C,24,标准型,96,200,6.0,4.0,16.0,20.0,元/小时,5.4144,-,8.6568,17.3136,,4万,6.0,,,,,8.6568,8.6568,17.3136
S6.24D,24,标准型,192,200,6.0,4.0,16.0,20.0,元/小时,7.8432,-,12.5352,25.0704,,4万,6.0,,,,,12.5352,12.5352,25.0704
S6.32A,32,标准型,32,300,12.0,4.0,16.0,20.0,元/小时,4.7904,-,7.664,15.328,,5万,8.0,,,,,7.664,7.664,15.328
S6.32B,32,标准型,64,300,12.0,4.0,16.0,20.0,元/小时,5.6,-,8.9568,17.9136,,5万,8.0,,,,,8.9568,8.9568,17.9136
S6.32C,32,标准型,128,300,12.0,4.0,16.0,20.0,元/小时,7.2192,-,11.5424,23.0848,,5万,8.0,,,,,11.5424,11.5424,23.0848
S6.32D,32,标准型,256,300,12.0,4.0,16.0,20.0,元/小时,10.4576,-,16.7136,33.4272,,5万,8.0,,,,,16.7136,16.7136,33.4272
SE9.2A,2,高效型,2,100,1.5,3.0,2.0,6.0,,0.25,,,,30.0,3,1.0,,,,,,,
SE9.2B,2,高效型,4,100,1.5,3.0,2.0,6.0,,0.3,,,,30.0,3,1.0,,,,,,,
SE9.2C,2,高效型,8,100,1.5,3.0,2.0,6.0,,0.35,,,,30.0,3,1.0,,,,,,,
SE9.4A,4,高效型,4,120,1.5,4.0,4.0,15.0,,0.5,,,,30.0,3,1.0,,,,,,,
SE9.4B,4,高效型,8,120,1.5,4.0,4.0,15.0,,0.6,,,,30.0,5,1.5,,,,,,,
SE9.4C,4,高效型,16,120,1.5,4.0,4.0,15.0,,0.8,,,,30.0,5,1.5,,,,,,,
SE9.8B,8,高效型,16,160,3.0,4.0,8.0,15.0,,1.19,,,,30.0,6,2.0,,,,,,,
SE9.8C,8,高效型,32,160,3.0,4.0,8.0,15.0,,1.6,,,,30.0,6,2.0,,,,,,,
SE9.12B,12,高效型,24,240,3.0,8.0,12.0,15.0,,1.79,,,,35.0,8,2.5,,,,,,,
SE9.12C,12,高效型,48,240,5.0,8.0,12.0,15.0,,2.39,,,,35.0,8,2.5,,,,,,,
SE9.16B,16,高效型,32,300,5.0,8.0,16.0,30.0,,2.38,,,,50.0,10,3.0,,,,,,,
SE9.16C,16,高效型,64,300,5.0,8.0,16.0,30.0,,3.18,,,,50.0,10,3.0,,,,,,,
SE9.24B,24,高效型,48,450,10.0,8.0,24.0,30.0,,3.58,,,,75.0,20,4.5,,,,,,,
SE9.24C,24,高效型,96,450,10.0,8.0,24.0,30.0,,4.78,,,,75.0,20,4.5,,,,,,,
SE9.32B,32,高效型,64,600,15.0,8.0,32.0,30.0,,4.77,,,,100.0,25,6.0,,,,,,,
SE9.32C,32,高效型,128,600,15.0,8.0,32.0,30.0,,6.37,,,,100.0,25,6.0,,,,,,,
SE9.48B,48,高效型,96,900,20.0,8.0,32.0,30.0,,7.15,,,,150.0,40,9.0,,,,,,,
SE9.48C,48,高效型,192,900,20.0,8.0,32.0,30.0,,9.55,,,,150.0,40,9.0,,,,,,,
SE9.64B,64,高效型,128,1200,25.0,8.0,32.0,30.0,,9.54,,,,200.0,50,12.0,,,,,,,
SE9.64C,64,高效型,256,1200,25.0,8.0,32.0,30.0,,12.74,,,,200.0,50,12.0,,,,,,,
SE9.96B,96,高效型,192,1800,40.0,15.0,32.0,30.0,,14.3,,,,300.0,75,18.0,,,,,,,
SE9.96C,96,高效型,384,1800,40.0,15.0,32.0,30.0,,19.1,,,,300.0,75,18.0,,,,,,,
SE9.128B,128,高效型,256,2400,50.0,15.0,32.0,50.0,,19.07,,,,400.0,100,24.0,,,,,,,
SE9.128C,128,高效型,512,2400,50.0,15.0,32.0,50.0,,25.47,,,,400.0,100,24.0,,,,,,,
SE9.240B,240,高效型,480,2400,75.0,15.0,32.0,50.0,,,,,,400.0,100,48.0,,,,,,,
SE9.240C,240,高效型,960,2400,75.0,15.0,32.0,50.0,,,,,,400.0,100,48.0,,,,,,,
SE9.256B,256,高效型,512,2400,100.0,15.0,32.0,50.0,,38.14,,,,400.0,100,48.0,,,,,,,
X6.2B,2,性能保障型,4,30,1.5,2.0,2.0,6.0,元/小时,0.3654,,0.585,1.1698,30.0,1万,2.0,,,,,,,
X6.2C,2,性能保障型,8,30,1.5,2.0,2.0,6.0,元/小时,0.4742,,0.7594,1.5182,30.0,1万,2.0,,,,,,,
X6.4B,4,性能保障型,8,50,2.0,3.0,4.0,6.0,元/小时,0.7308,,1.17,2.3396,30.0,2万,3.0,,,,,,,
X6.4C,4,性能保障型,16,50,2.0,3.0,4.0,6.0,元/小时,0.9484,,1.5188,3.0364,30.0,2万,3.0,,,,,,,
X6.8B,8,性能保障型,16,80,3.0,4.0,8.0,10.0,元/小时,1.4616,,2.34,4.6792,30.0,2.5万,4.0,,,,,,,
X6.8C,8,性能保障型,32,80,3.0,4.0,8.0,10.0,元/小时,1.8968,,3.0376,6.0728,30.0,2.5万,4.0,,,,,,,
X6.12B,12,性能保障型,24,110,4.0,6.0,12.0,15.0,元/小时,2.1924,,3.51,7.0188,35.0,3万,5.0,,,,,,,
X6.12C,12,性能保障型,48,110,4.0,6.0,12.0,15.0,元/小时,2.8452,,4.5564,9.1092,35.0,3万,5.0,,,,,,,
X6.16B,16,性能保障型,32,150,6.0,8.0,16.0,20.0,元/小时,2.9232,,4.68,9.3584,50.0,4万,6.0,,,,,,,
X6.16C,16,性能保障型,64,150,6.0,8.0,16.0,20.0,元/小时,3.7936,,6.0752,12.1456,50.0,4万,6.0,,,,,,,
X6.24B,24,性能保障型,48,200,8.0,8.0,16.0,20.0,元/小时,4.3848,,7.02,14.0376,75.0,5万,8.0,,,,,,,
X6.24C,24,性能保障型,96,200,8.0,8.0,16.0,20.0,元/小时,5.6904,,9.1128,18.2184,75.0,5万,8.0,,,,,,,
X6.32B,32,性能保障型,64,300,12.0,8.0,16.0,20.0,元/小时,5.8464,,9.36,18.7168,100.0,6万,10.0,,,,,,,
X6.32C,32,性能保障型,128,300,12.0,8.0,16.0,20.0,元/小时,7.5872,,12.1504,24.2912,100.0,6万,10.0,,,,,,,
X6.64B,64,性能保障型,128,500,20.0,8.0,16.0,20.0,元/小时,11.6928,,18.72,37.4336,200.0,10万,16.0,,,,,,,
X6.64C,64,性能保障型,256,500,20.0,8.0,16.0,20.0,元/小时,15.1744,,24.3008,48.5824,200.0,10万,16.0,,,,,,,
X6.112B,112,性能保障型,224,500,25.0,8.0,16.0,20.0,,,,,,400.0,20万,24.0,,,,,,,
X6.112C,112,性能保障型,448,500,25.0,8.0,16.0,20.0,,,,,,400.0,20万,24.0,,,,,,,
X6S.2B,2,性能增强型,4,30,2.0,2.0,2.0,6.0,元/小时,0.3837,,,,,,,,,,,,,
X6S.2C,2,性能增强型,8,30,2.0,2.0,2.0,6.0,元/小时,0.4979,,,,,,,,,,,,,
X6S.4B,4,性能增强型,8,60,3.0,3.0,4.0,6.0,元/小时,0.7673,,,,,,,,,,,,,
X6S.4C,4,性能增强型,16,60,3.0,3.0,4.0,6.0,元/小时,0.9958,,,,,,,,,,,,,
X6S.8B,8,性能增强型,16,120,6.0,4.0,8.0,10.0,元/小时,1.5347,,,,,,,,,,,,,
X6S.8C,8,性能增强型,32,120,6.0,4.0,8.0,10.0,元/小时,1.9916,,,,,,,,,,,,,
X6S.12B,12,性能增强型,24,160,10.0,6.0,12.0,15.0,元/小时,2.303,,,,,,,,,,,,,
X6S.12C,12,性能增强型,48,160,10.0,6.0,12.0,15.0,元/小时,2.9875,,,,,,,,,,,,,
X6S.16B,16,性能增强型,32,250,12.0,8.0,16.0,20.0,元/小时,3.0694,,,,,,,,,,,,,
X6S.16C,16,性能增强型,64,250,12.0,8.0,16.0,20.0,元/小时,3.9833,,,,,,,,,,,,,
X6S.24B,24,性能增强型,48,400,18.0,8.0,16.0,20.0,元/小时,4.604,,,,,,,,,,,,,
X6S.24C,24,性能增强型,96,400,18.0,8.0,16.0,20.0,元/小时,5.9749,,,,,,,,,,,,,
X6S.32B,32,性能增强型,64,500,24.0,8.0,16.0,20.0,元/小时,6.1387,,,,,,,,,,,,,
X6S.32C,32,性能增强型,128,500,24.0,8.0,16.0,20.0,元/小时,7.9666,,,,,,,,,,,,,
X6S.48B,48,性能增强型,96,700,32.0,8.0,16.0,20.0,元/小时,9.2081,,,,,,,,,,,,,
X6S.48C,48,性能增强型,192,700,32.0,8.0,16.0,20.0,元/小时,11.9498,,,,,,,,,,,,,
X6S.64B,64,性能增强型,128,1000,45.0,8.0,16.0,20.0,元/小时,12.2774,,,,,,,,,,,,,
X6S.64C,64,性能增强型,256,1000,45.0,8.0,16.0,20.0,元/小时,15.9331,,,,,,,,,,,,,
X7.2B,2,性能保障型,4,100,4.0,3.0,2.0,6.0,元/小时,0.3837,,,,30.0,3万,3.0,,,,,,,
X7.2C,2,性能保障型,8,100,4.0,3.0,2.0,6.0,元/小时,0.4979,,,,30.0,3万,3.0,,,,,,,
X7.4B,4,性能保障型,8,120,6.0,4.0,4.0,15.0,元/小时,0.7673,,,,30.0,5万,4.0,,,,,,,
X7.4C,4,性能保障型,16,120,6.0,4.0,4.0,15.0,元/小时,0.9958,,,,30.0,5万,4.0,,,,,,,
X7.8B,8,性能保障型,16,160,8.0,4.0,8.0,15.0,元/小时,1.5347,,,,30.0,6万,5.0,,,,,,,
X7.8C,8,性能保障型,32,160,8.0,4.0,8.0,15.0,元/小时,1.9916,,,,30.0,6万,5.0,,,,,,,
X7.12B,12,性能保障型,24,240,12.0,8.0,12.0,15.0,元/小时,2.302,,,,35.0,8万,6.0,,,,,,,
X7.12C,12,性能保障型,48,240,12.0,8.0,12.0,15.0,元/小时,2.9875,,,,35.0,8万,6.0,,,,,,,
X7.16B,16,性能保障型,32,300,15.0,8.0,16.0,30.0,元/小时,3.0694,,,,50.0,10万,8.0,,,,,,,
X7.16C,16,性能保障型,64,300,15.0,8.0,16.0,30.0,元/小时,3.9833,,,,50.0,10万,8.0,,,,,,,
X7.24B,24,性能保障型,48,450,20.0,8.0,24.0,30.0,元/小时,4.604,,,,75.0,20万,10.0,,,,,,,
X7.24C,24,性能保障型,96,450,20.0,8.0,24.0,30.0,元/小时,5.9749,,,,75.0,20万,10.0,,,,,,,
X7.32B,32,性能保障型,64,600,25.0,8.0,32.0,30.0,元/小时,6.1387,,,,100.0,25万,12.0,,,,,,,
X7.32C,32,性能保障型,128,600,25.0,8.0,32.0,30.0,元/小时,7.9666,,,,100.0,25万,12.0,,,,,,,
X7.48B,48,性能保障型,96,900,40.0,8.0,32.0,30.0,元/小时,9.2081,,,,150.0,40万,16.0,,,,,,,
X7.48C,48,性能保障型,192,900,40.0,8.0,32.0,30.0,元/小时,11.9498,,,,150.0,40万,16.0,,,,,,,
X7.64B,64,性能保障型,128,1200,50.0,8.0,32.0,30.0,元/小时,12.2774,,,,200.0,50万,24.0,,,,,,,
X7.64C,64,性能保障型,256,1200,50.0,8.0,32.0,30.0,元/小时,15.9331,,,,200.0,50万,24.0,,,,,,,
X7.96B,96,性能保障型,192,1800,75.0,15.0,32.0,30.0,元/小时,18.4162,,,,300.0,75万,32.0,,,,,,,
X7.96C,96,性能保障型,384,1800,75.0,15.0,32.0,30.0,元/小时,23.8997,,,,300.0,75万,32.0,,,,,,,
X7.128B,128,性能保障型,256,2400,100.0,15.0,32.0,50.0,元/小时,24.5549,,,,400.0,100万,48.0,,,,,,,
X7.128C,128,性能保障型,512,2400,100.0,15.0,32.0,50.0,元/小时,31.8662,,,,400.0,100万,48.0,,,,,,,
X8.2B,2,性能保障型,4,100,4.0,3.0,2.0,6.0,元/小时,0.4414,,,,30.0,3,3.0,,,,,,,
X8.2C,2,性能保障型,8,100,4.0,3.0,2.0,6.0,元/小时,0.573,,,,30.0,3,3.0,,,,,,,
X8.4B,4,性能保障型,8,120,6.0,4.0,4.0,15.0,元/小时,0.8828,,,,30.0,5,4.0,,,,,,,
X8.4C,4,性能保障型,16,120,6.0,4.0,4.0,15.0,元/小时,1.146,,,,30.0,5,4.0,,,,,,,
X8.8B,8,性能保障型,16,160,8.0,4.0,8.0,15.0,元/小时,1.7656,,,,30.0,6,5.0,,,,,,,
X8.8C,8,性能保障型,32,160,8.0,4.0,8.0,15.0,元/小时,2.292,,,,30.0,6,5.0,,,,,,,
X8.12B,12,性能保障型,24,240,12.0,8.0,12.0,15.0,元/小时,2.6484,,,,35.0,8,6.0,,,,,,,
X8.12C,12,性能保障型,48,240,12.0,8.0,12.0,15.0,元/小时,3.438,,,,35.0,8,6.0,,,,,,,
X8.16B,16,性能保障型,32,300,15.0,8.0,16.0,30.0,元/小时,3.5312,,,,50.0,10,8.0,,,,,,,
X8.16C,16,性能保障型,64,300,15.0,8.0,16.0,30.0,元/小时,4.584,,,,50.0,10,8.0,,,,,,,
X8.24B,24,性能保障型,48,450,20.0,8.0,24.0,30.0,元/小时,5.2968,,,,75.0,20,10.0,,,,,,,
X8.24C,24,性能保障型,96,450,20.0,8.0,24.0,30.0,元/小时,6.876,,,,75.0,20,10.0,,,,,,,
X8.32B,32,性能保障型,64,600,25.0,8.0,32.0,30.0,元/小时,7.0624,,,,100.0,25,12.0,,,,,,,
X8.32C,32,性能保障型,128,600,25.0,8.0,32.0,30.0,元/小时,9.168,,,,100.0,25,12.0,,,,,,,
X8.48B,48,性能保障型,96,900,40.0,8.0,32.0,30.0,元/小时,10.5936,,,,150.0,40,16.0,,,,,,,
X8.48C,48,性能保障型,192,900,40.0,8.0,32.0,30.0,元/小时,13.752,,,,150.0,40,16.0,,,,,,,
X8.64B,64,性能保障型,128,1200,50.0,8.0,32.0,30.0,元/小时,14.1248,,,,200.0,50,24.0,,,,,,,
X8.64C,64,性能保障型,256,1200,50.0,8.0,32.0,30.0,元/小时,18.336,,,,200.0,50,24.0,,,,,,,
X8.96B,96,性能保障型,192,1800,75.0,15.0,32.0,30.0,元/小时,21.1872,,,,300.0,75,32.0,,,,,,,
X8.96C,96,性能保障型,384,1800,75.0,15.0,32.0,30.0,元/小时,27.504,,,,300.0,75,32.0,,,,,,,
X8.128B,128,性能保障型,256,2400,100.0,15.0,32.0,50.0,元/小时,28.2496,,,,400.0,100,48.0,,,,,,,
X8.128C,128,性能保障型,512,2400,100.0,15.0,32.0,50.0,元/小时,36.672,,,,400.0,100,48.0,,,,,,,
X9a.2B,2,性能保障型,4,100,1.5,3.0,2.0,6.0,元/小时,0.36,,,,30.0,3,3.0,,,,,,,
X9a.2C,2,性能保障型,8,100,1.5,3.0,2.0,6.0,元/小时,0.48,,,,30.0,3,3.0,,,,,,,
X9a.4B,4,性能保障型,8,120,1.5,4.0,4.0,15.0,元/小时,0.72,,,,30.0,5,4.0,,,,,,,
X9a.4C,4,性能保障型,16,120,1.5,4.0,4.0,15.0,元/小时,0.96,,,,30.0,5,4.0,,,,,,,
X9a.8B,8,性能保障型,16,160,3.0,4.0,8.0,15.0,元/小时,1.45,,,,30.0,6,5.0,,,,,,,
X9a.8C,8,性能保障型,32,160,3.0,4.0,8.0,15.0,元/小时,1.91,,,,30.0,6,5.0,,,,,,,
X9a.16B,16,性能保障型,32,300,5.0,8.0,16.0,30.0,元/小时,2.89,,,,50.0,10,8.0,,,,,,,
X9a.16C,16,性能保障型,64,300,5.0,8.0,16.0,30.0,元/小时,3.82,,,,50.0,10,8.0,,,,,,,
X9a.32B,32,性能保障型,64,600,15.0,8.0,32.0,30.0,元/小时,5.78,,,,100.0,25,12.0,,,,,,,
X9a.32C,32,性能保障型,128,600,15.0,8.0,32.0,30.0,元/小时,7.64,,,,100.0,25,12.0,,,,,,,
X9a.64B,64,性能保障型,128,1200,25.0,8.0,32.0,30.0,元/小时,11.56,,,,200.0,50,24.0,,,,,,,
X9a.64C,64,性能保障型,256,1200,25.0,8.0,32.0,30.0,元/小时,15.29,,,,200.0,50,24.0,,,,,,,
X9a.128B,128,性能保障型,256,2400,50.0,15.0,32.0,50.0,元/小时,23.13,,,,400.0,100,48.0,,,,,,,
X9a.128C,128,性能保障型,512,2400,50.0,15.0,32.0,50.0,元/小时,30.58,,,,400.0,100,48.0,,,,,,,
X9a.192B,192,性能保障型,384,2400,100.0,15.0,32.0,50.0,元/小时,34.69,,,,400.0,100,48.0,,,,,,,
X9a.192C,192,性能保障型,768,2400,100.0,15.0,32.0,50.0,元/小时,45.87,,,,400.0,100,48.0,,,,,,,
X9a.256B,256,性能保障型,512,2400,100.0,15.0,32.0,50.0,元/小时,46.26,,,,400.0,100,48.0,,,,,,,
X9a.256C,256,性能保障型,1024,2400,100.0,15.0,32.0,50.0,元/小时,61.16,,,,400.0,100,48.0,,,,,,,
