套餐类型名,vCPU(个),family_id,内存容量(GB),PPS(万),内网带宽(Gbps),弹性网卡数,网卡队列数,单网卡私有IP数,价格单位,中国大陆Linux/Windows,"数据盘容量(GB,本地SSD)",新加坡Linux,新加坡Windows,连接数(万),云盘IOPS,云盘带宽(Gbps),GPU,GPU显存,多队列,网卡数,金融专区,中国香港Linux,中国香港Windows
C4.12C,12,计算优化型,48,120,4.0,4.0,12.0,15.0,,,-,,,,,,,,,,,,
C4.16B,16,计算优化型,32,150,6.0,4.0,16.0,20.0,元/小时,6.1104,-,7.9424,17.1104,,,,,,,,,,
C4.16C,16,计算优化型,64,150,6.0,4.0,16.0,20.0,元/小时,8.0656,-,10.4832,22.5856,,,,,,,,,,
C4.24B,24,计算优化型,48,150,12.0,6.0,16.0,20.0,元/小时,9.1656,-,11.9136,25.6656,,,,,,,,,,
C4.24C,24,计算优化型,96,150,12.0,6.0,16.0,20.0,,,-,,,,,,,,,,,,
C4.32B,32,计算优化型,64,250,12.0,8.0,16.0,20.0,元/小时,12.2208,-,15.8848,34.2208,,,,,,,,,,
C4.32C,32,计算优化型,128,250,12.0,8.0,16.0,20.0,元/小时,16.1312,-,20.9664,45.1712,,,,,,,,,,
C4.64B,64,计算优化型,128,250,12.0,8.0,16.0,20.0,,,-,,,,,,,,,,,,
C4.64C,64,计算优化型,256,250,12.0,8.0,16.0,20.0,,,-,,,,,,,,,,,,
C5.2B,2,计算优化型,4,30,1.5,3.0,2.0,6.0,元/小时,0.8022,-,,,,,,,,,,,,
C5.2C,2,计算优化型,8,30,1.5,3.0,2.0,6.0,元/小时,1.059,-,,,,,,,,,,,,
C5.4B,4,计算优化型,8,50,2.0,3.0,4.0,6.0,元/小时,1.6044,-,,,,,,,,,,,,
C5.4C,4,计算优化型,16,50,2.0,3.0,4.0,6.0,元/小时,2.118,-,,,,,,,,,,,,
C5.8B,8,计算优化型,16,80,3.0,4.0,8.0,10.0,元/小时,3.2088,-,,,,,,,,,,,,
C5.8C,8,计算优化型,32,80,3.0,4.0,8.0,10.0,元/小时,4.236,-,,,,,,,,,,,,
C5.12B,12,计算优化型,24,110,4.0,6.0,12.0,15.0,元/小时,4.8132,-,,,,,,,,,,,,
C5.12C,12,计算优化型,48,110,4.0,6.0,12.0,15.0,元/小时,6.354,-,,,,,,,,,,,,
C5.16B,16,计算优化型,32,150,6.0,8.0,16.0,20.0,元/小时,6.4176,-,,,,,,,,,,,,
C5.16C,16,计算优化型,64,150,6.0,8.0,16.0,20.0,元/小时,8.472,-,,,,,,,,,,,,
C5.24B,24,计算优化型,48,200,8.0,8.0,16.0,20.0,元/小时,9.6264,-,,,,,,,,,,,,
C5.24C,24,计算优化型,96,200,8.0,8.0,16.0,20.0,元/小时,12.708,-,,,,,,,,,,,,
C5.32B,32,计算优化型,64,250,10.0,8.0,16.0,20.0,元/小时,12.8352,-,,,,,,,,,,,,
C5.32C,32,计算优化型,128,250,10.0,8.0,16.0,20.0,元/小时,16.944,-,,,,,,,,,,,,
C5.64B,64,计算优化型,128,500,20.0,8.0,16.0,20.0,元/小时,25.6704,-,,,,,,,,,,,,
C5.64C,64,计算优化型,256,500,20.0,8.0,16.0,20.0,元/小时,33.888,-,,,,,,,,,,,,
C7.2B,2,计算优化型,4,100,4.0,3.0,2.0,6.0,元/小时,0.4096,-,,,,,,,,,,,,
C7.2C,2,计算优化型,8,100,4.0,3.0,2.0,6.0,元/小时,0.5316,-,,,,,,,,,,,,
C7.4B,4,计算优化型,8,120,6.0,4.0,4.0,15.0,元/小时,0.8192,-,,,,,,,,,,,,
C7.4C,4,计算优化型,16,120,6.0,4.0,4.0,15.0,元/小时,1.0632,-,,,,,,,,,,,,
C7.8B,8,计算优化型,16,160,8.0,4.0,8.0,15.0,元/小时,1.6384,-,,,,,,,,,,,,
C7.8C,8,计算优化型,32,160,8.0,4.0,8.0,15.0,元/小时,2.1264,-,,,,,,,,,,,,
C7.12B,12,计算优化型,24,240,12.0,8.0,12.0,15.0,元/小时,2.4576,-,,,,,,,,,,,,
C7.12C,12,计算优化型,48,240,12.0,8.0,12.0,15.0,元/小时,3.1896,-,,,,,,,,,,,,
C7.16B,16,计算优化型,32,300,15.0,8.0,16.0,30.0,元/小时,3.2768,-,,,,,,,,,,,,
C7.16C,16,计算优化型,64,300,15.0,8.0,16.0,30.0,元/小时,4.2528,-,,,,,,,,,,,,
C7.24B,24,计算优化型,48,450,20.0,8.0,24.0,30.0,元/小时,4.9152,-,,,,,,,,,,,,
C7.24C,24,计算优化型,96,450,20.0,8.0,24.0,30.0,元/小时,6.3792,-,,,,,,,,,,,,
C7.32B,32,计算优化型,64,600,25.0,8.0,32.0,30.0,元/小时,6.5536,-,,,,,,,,,,,,
C7.32C,32,计算优化型,128,600,25.0,8.0,32.0,30.0,元/小时,8.5056,-,,,,,,,,,,,,
C7.48B,48,计算优化型,96,900,40.0,8.0,32.0,30.0,元/小时,9.8304,-,,,,,,,,,,,,
C7.48C,48,计算优化型,192,900,40.0,8.0,32.0,30.0,元/小时,12.7584,-,,,,,,,,,,,,
C7.64B,64,计算优化型,128,1200,50.0,8.0,32.0,30.0,元/小时,13.1072,-,,,,,,,,,,,,
