instance_type,cpu,memory,hourly_price,instance_label,family_id,processor_model,network_bandwidth,network_pps,disk,platform,l1_cache,l2_cache,l3_cache,processor_base_frequency,processor_turbo_frequency,numa_count,hyper_threading,region,disk_iops,disk_bandwidth
ecs.i3.2xlarge,8.0,64.0,,本地SSD型,i3,,2.5/10,160万,0,aliyun,,,,,,,,,5万,2.0
ecs.i3.4xlarge,16.0,128.0,,本地SSD型,i3,,5/10,300万,0,aliyun,,,,,,,,,8万,3.0
ecs.i3.8xlarge,32.0,256.0,,本地SSD型,i3,,10/无,600万,0,aliyun,,,,,,,,,15万,5.0
ecs.i3.13xlarge,52.0,384.0,,本地SSD型,i3,,16/无,900万,0,aliyun,,,,,,,,,24万,8.0
ecs.i3.26xlarge,104.0,768.0,,本地SSD型,i3,,32/无,2400万,0,aliyun,,,,,,,,,48万,16.0
ecs.re6p.large,2.0,8.0,,内存型,re6p,,1/3,30万,0,aliyun,,,,,,,,,1万,1.0
ecs.re6p.xlarge,4.0,16.0,,内存型,re6p,,1.5/5,50万,0,aliyun,,,,,,,,,2万,1.5
ecs.re6p.2xlarge,8.0,32.0,,内存型,re6p,,2.5/10,80万,0,aliyun,,,,,,,,,2.5万,2.0
ecs.re6p.13xlarge,52.0,192.0,,内存型,re6p,,12.5/无,300万,0,aliyun,,,,,,,,,10万,8.0
ecs.re6p.26xlarge,104.0,384.0,,内存型,re6p,,25/无,600万,0,aliyun,,,,,,,,,20万,160.0
ecs.re6p-redis.large,2.0,8.0,,内存型,re6p-redis,,1/3,30万,0,aliyun,,,,,,,,,1万,1.0
ecs.re6p-redis.xlarge,4.0,16.0,,内存型,re6p-redis,,1.5/5,50万,0,aliyun,,,,,,,,,2万,1.5
ecs.re6p-redis.2xlarge,8.0,32.0,,内存型,re6p-redis,,2.5/10,80万,0,aliyun,,,,,,,,,2.5万,2.0
ecs.re6p-redis.13xlarge,52.0,192.0,,内存型,re6p-redis,,12.5/无,300万,0,aliyun,,,,,,,,,10万,8.0
ecs.vgn7i-vws-m4.xlarge,4.0,30.0,,,vgn7i-vws-m4,,3,100万,0,aliyun,,,,,,,,,,
ecs.vgn7i-vws-m8.2xlarge,10.0,62.0,,,vgn7i-vws-m8,,5,200万,0,aliyun,,,,,,,,,,
ecs.vgn7i-vws-m12.3xlarge,14.0,93.0,,,vgn7i-vws-m12,,8,300万,0,aliyun,,,,,,,,,,
ecs.vgn7i-vws-m24.7xlarge,30.0,186.0,,,vgn7i-vws-m24,,16,600万,0,aliyun,,,,,,,,,,
ecs.c6a.large,2.0,4.0,,计算型,c6a,,1/10,90万,0,aliyun,,,,,,,,,1.25万,1.0
ecs.c6a.xlarge,4.0,8.0,,计算型,c6a,,1.5/10,100万,0,aliyun,,,,,,,,,2万,1.5
ecs.c6a.2xlarge,8.0,16.0,,计算型,c6a,,2.5/10,160万,0,aliyun,,,,,,,,,3万,2.0
ecs.c6a.4xlarge,16.0,32.0,,计算型,c6a,,5/10,200万,0,aliyun,,,,,,,,,6万,3.1
ecs.c6a.8xlarge,32.0,64.0,,计算型,c6a,,8/10,300万,0,aliyun,,,,,,,,,7.5万,4.1
ecs.c6a.16xlarge,64.0,128.0,,计算型,c6a,,16/无,600万,0,aliyun,,,,,,,,,15万,8.2
ecs.c6a.32xlarge,128.0,256.0,,计算型,c6a,,32/无,1200万,0,aliyun,,,,,,,,,30万,16.4
ecs.mn4.small,1.0,4.0,,,mn4,,0.5,5,0,aliyun,,,,,,,,,,
ecs.mn4.large,2.0,8.0,,,mn4,,0.5,10,0,aliyun,,,,,,,,,,
ecs.mn4.xlarge,4.0,16.0,,,mn4,,0.8,15,0,aliyun,,,,,,,,,,
